,Listed By,Listed By Cleaned,Neighborhood,Posting Date,Scrape Date,Source File Name,Title,SequenceMatcherResult,topMatch,score,SequenceMatcherResult85Rand,topMatch85,score85
0,((((((((((((^^^^^^^^^^^^^^^^^^^^,,WestVillage,2017-10-12,2017-10-29,craigslist_newyork_6342914441_20171029.json,âºTRUE 3BDS ~~ WASHER / DRYER ~~ WEST 3RD  ~~ NO FEE__,"('benny', 0.5)",benny,0.5,"(nan, 1.0)",,1.0
1,++++++++++++++++++++,,MidtownEast,2017-10-22,2017-10-29,craigslist_newyork_6355916538_20171029.json,*** NO FEE MASSIVE 4BR/2BA--DOORMAN BLDG WITH TERRACE,"('benny', 0.5)",benny,0.5,"(nan, 1.0)",,1.0
2,_______________________,,SoHo,2017-10-22,2017-10-29,craigslist_newyork_6355918113_20171029.json,****ENTIRE FLOOR 2000SQ/FT SOHO-- 5BR--LOFT,"('benny', 0.5)",benny,0.5,"(nan, 1.0)",,1.0
3,_______________________,,UpperWestSide,2017-10-22,2017-10-29,craigslist_newyork_6355918249_20171029.json,Classic upper west 4br/3ba--west end Ave--doorman--w/d,"('benny', 0.5)",benny,0.5,"(nan, 1.0)",,1.0
4,_______________________,,EastVillage,2017-10-22,2017-10-29,craigslist_newyork_6355918392_20171029.json,****Whole floor true 4 beds 1.5 bath roof top prime east village!,"('benny', 0.5)",benny,0.5,"(nan, 1.0)",,1.0
5,_______________________,,UpperWestSide,2017-10-22,2017-10-29,craigslist_newyork_6355918549_20171029.json,Classic upper west 4br/3ba--west end Ave--doorman--w/d,"('benny', 0.5)",benny,0.5,"(nan, 1.0)",,1.0
6,++++++++++++++++++++++++++++,,MurrayHill,2017-10-22,2017-10-29,craigslist_newyork_6355919395_20171029.json,??? NO FEE  TRUE 4BEDS?CONDO FINISHES--ROOFTOP--W/D,"('benny', 0.5)",benny,0.5,"(nan, 1.0)",,1.0
7,_______________________,,UpperWestSide,2017-10-29,2017-10-29,craigslist_newyork_6365294235_20171029.json,Classic upper west 4br/3ba--west end Ave--doorman--w/d,"('benny', 0.5)",benny,0.5,"(nan, 1.0)",,1.0
8,_______________________,,EastVillage,2017-10-29,2017-10-29,craigslist_newyork_6365294140_20171029.json,****Whole floor true 4 beds 1.5 bath roof top prime east village!,"('benny', 0.5)",benny,0.5,"(nan, 1.0)",,1.0
9,_______________________,,UpperWestSide,2017-10-29,2017-10-29,craigslist_newyork_6365294012_20171029.json,Classic upper west 4br/3ba--west end Ave--doorman--w/d,"('benny', 0.5)",benny,0.5,"(nan, 1.0)",,1.0
10,&^!!)+_____________________,,UnionSquare,2017-09-27,2017-10-29,craigslist_newyork_6322953497_20171029.json,? 3BDS / 2 BATH  ____ W/D ___ 5 WEEKS FREE  ___NO FEE,"('benny', 0.5)",benny,0.5,"(nan, 1.0)",,1.0
11,_______________________,,SoHo,2017-10-29,2017-10-29,craigslist_newyork_6365293899_20171029.json,****ENTIRE FLOOR 2000SQ/FT SOHO-- 5BR--LOFT,"('benny', 0.5)",benny,0.5,"(nan, 1.0)",,1.0
12,++++++++++++++++++++,,EastVillage,2017-10-19,2017-10-29,craigslist_newyork_6352833646_20171029.json,? (((( 800 SQFT PRIVATE PATIO )))___ NEVER LIVED ___W/D IN THE UNIT,"('benny', 0.5)",benny,0.5,"(nan, 1.0)",,1.0
13,++++++++++++++++++++,,TriBeCa,2017-10-22,2017-10-29,craigslist_newyork_6355916680_20171029.json,? ? ((((5 BEDROOMS LOFT))) JUST LISTED___KING  SIZE BEDS__WINDOWS,"('benny', 0.5)",benny,0.5,"(nan, 1.0)",,1.0
14,-------------------------,,Gramercy,2017-10-16,2017-10-29,craigslist_newyork_6348056976_20171029.json,LARGE 3BEDROOMS- ALL QUEEN- DOORMAN- ELEVATOR- SHARES!!!,"('benny', 0.5)",benny,0.5,"(nan, 1.0)",,1.0
15,++++++++++++++++++++++++++++,,FinancialDistrict,2017-10-14,2017-10-29,craigslist_newyork_6345919185_20171029.json,Duplex true 5 bedrooms--prime location--new to the market,"('benny', 0.5)",benny,0.5,"(nan, 1.0)",,1.0
16,_______________________,,UpperWestSide,2017-10-14,2017-10-29,craigslist_newyork_6345908610_20171029.json,Classic upper west 4br/3ba--west end Ave--doorman--w/d,"('benny', 0.5)",benny,0.5,"(nan, 1.0)",,1.0
17,_______________________,,FinancialDistrict,2017-10-14,2017-10-29,craigslist_newyork_6345907506_20171029.json,****ENTIRE FLOOR 2000SQ/FT SOHO-- 5BR--LOFT,"('benny', 0.5)",benny,0.5,"(nan, 1.0)",,1.0
